"METRO_STATUS","AVG_ACCOUNT_SIZE","SHARE_RETIREMENT_ACCESS","SHARE_MATCHING","SHARE_PARTICIPATION","SAMPLE_SIZE"
"Metropolitan area",113751.729106951,0.407415272493439,0.495093490822959,0.428205338035143,6808
"Non-metropolitan area",59160.0188809218,0.504034512759819,0.566362024172585,0.521745208956715,1113
