"","ANY_RETIREMENT_ACCESS","10 - 25","101 - 200","201 - 500","26 - 50","501 - 1,000","51 - 100","< 10","> 1,000"
"1","No",54.9767822039742,33.8839315233443,30.1056659038602,46.4679071773736,25.9378481518052,41.3368388317786,55.4273732178763,26.8435360729903
"2","Yes",45.0232177960258,66.1160684766557,69.8943340961398,53.5320928226264,74.0621518481948,58.6631611682214,44.5726267821237,73.1564639270098
